Deform_axial_(%),Deform_Vol_(%),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
0.0,0.0,0.0,200,200.0,200.0,200,1.0,0.0,200.0,200.0,0.0,200.0,200.0
0.10067590000000001,0.0230162,88.128,200,288.128,288.128,200,1.44,44.06399999999999,244.064,244.064,88.128,229.37599999999998,229.37599999999998
0.19128409999999998,0.0805559,125.55,200,325.55,325.55,200,1.63,62.775000000000006,262.775,262.775,125.55,241.85,241.85
0.29196,0.2013891,154.872,200,354.872,354.872,200,1.77,77.436,277.43600000000004,277.43600000000004,154.872,251.62400000000002,251.62400000000002
0.3825683,0.21002030000000002,180.63,200,380.63,380.63,200,1.9,90.315,290.315,290.315,180.63,260.21,260.21
0.48324409999999995,0.2733138,202.095,200,402.095,402.095,200,2.01,101.04750000000001,301.0475,301.0475,202.095,267.365,267.365
0.5738524,0.3826396,220.077,200,420.077,420.077,200,2.1,110.0385,310.0385,310.0385,220.077,273.359,273.359
0.6745283000000001,0.3826396,234.495,200,434.495,434.495,200,2.17,117.2475,317.2475,317.2475,234.495,278.165,278.165
0.7651365,0.4689492,247.779,200,447.779,447.779,200,2.24,123.8895,323.8895,323.8895,247.779,282.593,282.593
0.8658123999999999,0.6271835,260.334,200,460.334,460.334,200,2.3,130.167,330.16700000000003,330.16700000000003,260.334,286.778,286.778
1.16784,0.7566479,294.516,200,494.516,494.516,200,2.47,147.258,347.25800000000004,347.25800000000004,294.516,298.172,298.172
1.4698674999999999,0.8630962000000001,326.754,200,526.754,526.754,200,2.63,163.377,363.377,363.377,326.754,308.918,308.918
1.7718951,1.0213305000000001,352.917,200,552.9169999999999,552.9169999999999,200,2.76,176.45849999999996,376.45849999999996,376.45849999999996,352.917,317.63899999999995,317.63899999999995
2.0739227,1.1306563,376.974,200,576.9739999999999,576.9739999999999,200,2.88,188.48699999999997,388.48699999999997,388.48699999999997,376.974,325.65799999999996,325.65799999999996
2.3860178,1.2227197,398.439,200,598.4390000000001,598.4390000000001,200,2.99,199.21950000000004,399.21950000000004,399.21950000000004,398.439,332.81300000000005,332.81300000000005
2.6880454,1.3176605,420.633,200,620.633,620.633,200,3.1,210.31650000000002,410.3165,410.3165,420.633,340.211,340.211
2.990073,1.3895852,437.481,200,637.481,637.481,200,3.19,218.7405,418.7405,418.7405,437.481,345.827,345.827
3.2921006000000004,1.4816485000000001,454.086,200,654.086,654.086,200,3.27,227.043,427.043,427.043,454.086,351.362,351.362
3.5941281,1.5391883,474.255,200,674.255,674.255,200,3.37,237.1275,437.1275,437.1275,474.255,358.08500000000004,358.08500000000004
3.8961557,1.5909743,483.975,200,683.975,683.975,200,3.42,241.9875,441.9875,441.9875,483.975,361.325,361.325
4.1981833,1.611113,501.147,200,701.1469999999999,701.1469999999999,200,3.51,250.57349999999997,450.57349999999997,450.57349999999997,501.147,367.049,367.049
4.5102785,1.6830376,514.107,200,714.107,714.107,200,3.57,257.0535,457.0535,457.0535,514.107,371.36899999999997,371.36899999999997
4.812306,1.7635934999999998,523.665,200,723.665,723.665,200,3.62,261.8325,461.8325,461.8325,523.665,374.555,374.555
5.1143336,1.7837322,537.678,200,737.678,737.678,200,3.69,268.839,468.839,468.839,537.678,379.22599999999994,379.22599999999994
5.4163612,1.8067484000000003,545.535,200,745.535,745.535,200,3.73,272.7675,472.7675,472.7675,545.535,381.84499999999997,381.84499999999997
5.7183888000000005,1.8211333,554.688,200,754.688,754.688,200,3.77,277.344,477.344,477.344,554.688,384.896,384.896
6.0204163,1.8844268000000002,563.76,200,763.76,763.76,200,3.82,281.88,481.88,481.88,563.76,387.92,387.92
6.3224439,1.9131966,569.997,200,769.997,769.997,200,3.85,284.9985,484.9985,484.9985,569.997,389.99899999999997,389.99899999999997
6.624471499999999,1.9218279,577.692,200,777.692,777.692,200,3.89,288.846,488.846,488.846,577.692,392.564,392.564
